Subject ID	Age	Sex
		{ 'Female'  'Male' }
sub_51	23	Female
sub_52	84	Female
sub_53	90	Male
sub_54	80	Male
sub_55	10	Male
sub_56	26	Female
sub_57	40	Male
sub_58	53	Female
sub_59	3	Male
sub_60	84	Male
sub_61	31	Female
sub_62	15	Male
sub_63	20	Female
sub_64	64	Male
sub_65	55	Female
sub_66	9	Male
sub_67	76	Male
sub_68	32	Female
sub_69	28	Male
sub_70	69	Female
sub_71	71	Female
sub_72	47	Female
sub_73	13	Male
sub_74	43	Male
sub_75	41	Male
sub_76	60	Male
sub_77	39	Female
sub_78	17	Male
sub_79	27	Female
sub_80	36	Male
sub_81	33	Female
sub_82	83	Female
sub_83	46	Male
sub_84	24	Female
sub_85	50	Female
sub_86	24	Female
sub_87	56	Male
sub_88	39	Female
sub_89	17	Male
sub_90	63	Female
sub_91	49	Female
sub_92	45	Female
sub_93	63	Male
sub_94	33	Male
sub_95	19	Female
sub_96	72	Female
sub_97	15	Female
sub_98	43	Female
sub_99	29	Female
sub_100	24	Male
